"alias","pop","parent","dims","method","args"
"cd8:TNFa0.995/IFNg0.9999/IL20.999","cd8 TNFa0.995/IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.9999:cd8/IL20.999"
"cd4:IFNg0.9999/IL20.9999","cd4 IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.9999"
"cd4:TNFa0.995/IFNg0.9999/IL20.9999","cd4 TNFa0.995/IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.9999:cd4/IL20.9999"
"cd8:IFNg0.9999/IL20.9999","cd8 IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.9999"
"cd8:TNFa0.995/IFNg0.9999/IL20.9999","cd8 TNFa0.995/IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.9999:cd8/IL20.9999"
"cd4:IFNg0.995/IL20.995","cd4 IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.995"
"cd4:TNFa0.999/IFNg0.995/IL20.995","cd4 TNFa0.999/IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.995:cd4/IL20.995"
"cd8:IFNg0.995/IL20.995","cd8 IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.995"
"cd8:TNFa0.999/IFNg0.995/IL20.995","cd8 TNFa0.999/IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.995:cd8/IL20.995"
"cd4:IFNg0.995/IL20.999","cd4 IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.999"
"cd4:TNFa0.999/IFNg0.995/IL20.999","cd4 TNFa0.999/IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.995:cd4/IL20.999"
"cd8:IFNg0.995/IL20.999","cd8 IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.999"
"cd8:TNFa0.999/IFNg0.995/IL20.999","cd8 TNFa0.999/IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.995:cd8/IL20.999"
"cd4:IFNg0.995/IL20.9999","cd4 IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.9999"
"cd4:TNFa0.999/IFNg0.995/IL20.9999","cd4 TNFa0.999/IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.995:cd4/IL20.9999"
"cd8:IFNg0.995/IL20.9999","cd8 IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.9999"
"cd8:TNFa0.999/IFNg0.995/IL20.9999","cd8 TNFa0.999/IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.995:cd8/IL20.9999"
"cd4:IFNg0.999/IL20.995","cd4 IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.995"
"cd4:TNFa0.999/IFNg0.999/IL20.995","cd4 TNFa0.999/IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.999:cd4/IL20.995"
"cd8:IFNg0.999/IL20.995","cd8 IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.995"
"cd8:TNFa0.999/IFNg0.999/IL20.995","cd8 TNFa0.999/IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.999:cd8/IL20.995"
"cd4:IFNg0.999/IL20.999","cd4 IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.999"
"cd4:TNFa0.999/IFNg0.999/IL20.999","cd4 TNFa0.999/IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.999:cd4/IL20.999"
"cd8:IFNg0.999/IL20.999","cd8 IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.999"
"cd8:TNFa0.999/IFNg0.999/IL20.999","cd8 TNFa0.999/IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.999:cd8/IL20.999"
"cd4:IFNg0.999/IL20.9999","cd4 IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.9999"
"cd4:TNFa0.999/IFNg0.999/IL20.9999","cd4 TNFa0.999/IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.999:cd4/IL20.9999"
"cd8:IFNg0.999/IL20.9999","cd8 IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.9999"
"cd8:TNFa0.999/IFNg0.999/IL20.9999","cd8 TNFa0.999/IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.999:cd8/IL20.9999"
"cd4:IFNg0.9999/IL20.995","cd4 IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.995"
"cd4:TNFa0.999/IFNg0.9999/IL20.995","cd4 TNFa0.999/IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.9999:cd4/IL20.995"
"cd8:IFNg0.9999/IL20.995","cd8 IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.995"
"cd8:TNFa0.999/IFNg0.9999/IL20.995","cd8 TNFa0.999/IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.9999:cd8/IL20.995"
"cd4:IFNg0.9999/IL20.999","cd4 IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.999"
"cd4:TNFa0.999/IFNg0.9999/IL20.999","cd4 TNFa0.999/IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.9999:cd4/IL20.999"
"cd8:IFNg0.9999/IL20.999","cd8 IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.999"
"cd8:TNFa0.999/IFNg0.9999/IL20.999","cd8 TNFa0.999/IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.9999:cd8/IL20.999"
"cd4:IFNg0.9999/IL20.9999","cd4 IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.9999"
"cd4:TNFa0.999/IFNg0.9999/IL20.9999","cd4 TNFa0.999/IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.999:cd4/IFNg0.9999:cd4/IL20.9999"
"cd8:IFNg0.9999/IL20.9999","cd8 IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.9999"
"cd8:TNFa0.999/IFNg0.9999/IL20.9999","cd8 TNFa0.999/IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.999:cd8/IFNg0.9999:cd8/IL20.9999"
"cd4:IFNg0.995/IL20.995","cd4 IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.995"
"cd4:TNFa0.9999/IFNg0.995/IL20.995","cd4 TNFa0.9999/IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.995:cd4/IL20.995"
"cd8:IFNg0.995/IL20.995","cd8 IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.995"
"cd8:TNFa0.9999/IFNg0.995/IL20.995","cd8 TNFa0.9999/IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.995:cd8/IL20.995"
"cd4:IFNg0.995/IL20.999","cd4 IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.999"
"cd4:TNFa0.9999/IFNg0.995/IL20.999","cd4 TNFa0.9999/IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.995:cd4/IL20.999"
"cd8:IFNg0.995/IL20.999","cd8 IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.999"
"cd8:TNFa0.9999/IFNg0.995/IL20.999","cd8 TNFa0.9999/IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.995:cd8/IL20.999"
"cd4:IFNg0.995/IL20.9999","cd4 IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.9999"
"cd4:TNFa0.9999/IFNg0.995/IL20.9999","cd4 TNFa0.9999/IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.995:cd4/IL20.9999"
"cd8:IFNg0.995/IL20.9999","cd8 IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.9999"
"cd8:TNFa0.9999/IFNg0.995/IL20.9999","cd8 TNFa0.9999/IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.995:cd8/IL20.9999"
"cd4:IFNg0.999/IL20.995","cd4 IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.995"
"cd4:TNFa0.9999/IFNg0.999/IL20.995","cd4 TNFa0.9999/IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.999:cd4/IL20.995"
"cd8:IFNg0.999/IL20.995","cd8 IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.995"
"cd8:TNFa0.9999/IFNg0.999/IL20.995","cd8 TNFa0.9999/IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.999:cd8/IL20.995"
"cd4:IFNg0.999/IL20.999","cd4 IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.999"
"cd4:TNFa0.9999/IFNg0.999/IL20.999","cd4 TNFa0.9999/IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.999:cd4/IL20.999"
"cd8:IFNg0.999/IL20.999","cd8 IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.999"
"cd8:TNFa0.9999/IFNg0.999/IL20.999","cd8 TNFa0.9999/IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.999:cd8/IL20.999"
"cd4:IFNg0.999/IL20.9999","cd4 IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.9999"
"cd4:TNFa0.9999/IFNg0.999/IL20.9999","cd4 TNFa0.9999/IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.999:cd4/IL20.9999"
"cd8:IFNg0.999/IL20.9999","cd8 IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.9999"
"cd8:TNFa0.9999/IFNg0.999/IL20.9999","cd8 TNFa0.9999/IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.999:cd8/IL20.9999"
"cd4:IFNg0.9999/IL20.995","cd4 IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.995"
"cd4:TNFa0.9999/IFNg0.9999/IL20.995","cd4 TNFa0.9999/IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.9999:cd4/IL20.995"
"cd8:IFNg0.9999/IL20.995","cd8 IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.995"
"cd8:TNFa0.9999/IFNg0.9999/IL20.995","cd8 TNFa0.9999/IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.9999:cd8/IL20.995"
"cd4:IFNg0.9999/IL20.999","cd4 IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.999"
"cd4:TNFa0.9999/IFNg0.9999/IL20.999","cd4 TNFa0.9999/IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.9999:cd4/IL20.999"
"cd8:IFNg0.9999/IL20.999","cd8 IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.999"
"cd8:TNFa0.9999/IFNg0.9999/IL20.999","cd8 TNFa0.9999/IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.9999:cd8/IL20.999"
"cd4:IFNg0.9999/IL20.9999","cd4 IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.9999"
"cd4:TNFa0.9999/IFNg0.9999/IL20.9999","cd4 TNFa0.9999/IFNg0.9999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.9999:cd4/IFNg0.9999:cd4/IL20.9999"
"cd8:IFNg0.9999/IL20.9999","cd8 IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.9999"
"cd8:TNFa0.9999/IFNg0.9999/IL20.9999","cd8 TNFa0.9999/IFNg0.9999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.9999:cd8/IFNg0.9999:cd8/IL20.9999"
